ID,Rel_Sat,BFI_E,BFI_N,BFI_O,BFI_A,BFI_C,SelfEsteem
100,18,4.666666667,2.833333333,2.333333333,2.666666667,3,36
101,21,4,1.5,3.666666667,4.166666667,4.166666667,28
102,17,3.5,3.333333333,2.5,3.333333333,3,27
103,21,3.5,2.833333333,4.5,4.833333333,5,31
104,21,4,1.5,3,4.833333333,3.833333333,40
105,21,4,1.333333333,3.5,4.833333333,4.5,40
106,18,3.333333333,3.166666667,4,3.333333333,3.666666667,37
107,13,4.666666667,2.333333333,4.5,4.833333333,3.166666667,23
108,18,2.666666667,4.166666667,4,4.166666667,2.333333333,23
109,21,2.5,1.833333333,2.333333333,4.666666667,3.166666667,27
110,20,3.333333333,3.166666667,3.666666667,4.166666667,4,32
111,21,4,1.666666667,3.5,4.666666667,4.333333333,31
112,21,1.666666667,3.666666667,3.5,4.833333333,3.833333333,28
113,18,2.5,2.833333333,4.166666667,2.833333333,2,21
114,20,2.666666667,4.5,4.833333333,3.833333333,3.333333333,24
115,18,2.666666667,2.833333333,4.833333333,2.666666667,1.666666667,24
116,19,4,4.333333333,3.166666667,2.833333333,3.5,25
117,21,4.666666667,2.833333333,3.166666667,4.5,4.666666667,38
118,19,3.666666667,2.666666667,4.5,4.5,3.833333333,37
119,17,4.166666667,2,4.833333333,4.833333333,2.5,36
120,21,3.5,2.333333333,3.166666667,4.333333333,3.666666667,30
121,21,2.5,3,3.166666667,4.333333333,3.166666667,38
122,17,2.166666667,3.333333333,3.5,4,3.166666667,32
123,18,3,3.5,2.666666667,4.5,3.833333333,26
124,17,4.166666667,3.666666667,2.333333333,4,2.5,27
125,21,1.833333333,2.5,2.666666667,3.333333333,2.5,30
126,21,4.166666667,3.333333333,2.666666667,4.166666667,2.333333333,29
127,18,3.333333333,3.166666667,2.833333333,4,4,25
128,19,3.833333333,3,4.166666667,2.666666667,2.333333333,30
129,19,1.833333333,4.166666667,3.666666667,4.5,4.166666667,31
130,18,2.333333333,4.5,4.5,4.5,2.166666667,22
131,12,3,3,3,3,3,25
132,20,4.333333333,2.833333333,4.833333333,4.166666667,4,32
133,21,3.333333333,1.333333333,2.833333333,3,4.166666667,39
134,21,3.333333333,3.333333333,3.833333333,4.666666667,4,27
135,20,3.5,4,4.5,4.5,2.5,33
136,18,3.666666667,3.666666667,4.5,4.833333333,3.166666667,29
137,20,4.166666667,3.166666667,4.833333333,3.5,3.333333333,27
138,21,3.666666667,4.166666667,3.666666667,4.166666667,4.666666667,20
139,21,3.166666667,2.666666667,1.666666667,1.833333333,2.833333333,38
140,19,3.5,3,3.166666667,4.333333333,3.5,33
141,21,4,1.833333333,4,4.166666667,4.666666667,39
142,16,3.333333333,3.833333333,3.5,4.166666667,4.333333333,28
143,19,4.666666667,2,3.166666667,3.833333333,1.833333333,35
144,21,3.666666667,3.333333333,4.666666667,4.333333333,3.833333333,37
145,21,3.5,2.833333333,3.333333333,4.333333333,3,29
146,12,3.5,3.666666667,3.5,4,3,28
147,13,2.5,2.5,2.333333333,3.166666667,3.166666667,26
148,18,4.333333333,2.666666667,3.333333333,4.833333333,4.333333333,35
149,19,3.833333333,1.333333333,3.166666667,4.666666667,3.833333333,39
150,12,2.166666667,2.833333333,4.833333333,3.666666667,4.333333333,33
151,18,3.333333333,2.5,4.166666667,3.666666667,3,25
152,21,4,1.5,3.5,3.833333333,3.833333333,30
153,18,4,4.166666667,4.166666667,3.333333333,3.833333333,24
154,21,3,2.833333333,3.333333333,3.666666667,3.666666667,31
155,21,3.333333333,1.5,3.833333333,4.166666667,3.666666667,32
156,21,3.833333333,3.833333333,3.666666667,3.166666667,2.5,22
157,18,3.166666667,1.666666667,4.833333333,3.833333333,4.333333333,32
158,15,4.333333333,3.166666667,3.333333333,4.333333333,4.166666667,32
159,18,3,3.166666667,3.166666667,3.833333333,4.5,29
160,21,4.833333333,1.333333333,5,5,3.333333333,35
161,21,4.166666667,4.333333333,3.666666667,3.833333333,4.666666667,26
162,9,3.666666667,2.5,3.333333333,3.833333333,3.166666667,30
163,11,3.833333333,2.333333333,3.166666667,3.833333333,3.666666667,29
164,16,3.666666667,2.666666667,4,3.666666667,3.5,31
165,15,3,3,2.333333333,3.666666667,2.5,32
166,19,4.5,1.666666667,3.333333333,4.833333333,4.5,38
167,21,2.666666667,3.5,4.5,4.166666667,3.833333333,25
168,13,4.333333333,2.333333333,3.333333333,3.333333333,3.666666667,33
169,18,2.833333333,3.833333333,3.166666667,3.666666667,2.833333333,32
170,21,4.5,1.666666667,3,3.5,4.333333333,35
171,21,4.833333333,3,3.5,4.166666667,3.5,31
172,15,3.833333333,2.5,3.833333333,4,2.666666667,30
173,16,3,2.166666667,3.666666667,4,3.833333333,31
174,19,4,2.5,4.166666667,3.333333333,3.166666667,37
175,20,2,1.666666667,3.166666667,4,2.666666667,32
176,21,3.333333333,2.5,3.5,4.333333333,2.666666667,29
177,21,3.166666667,3.166666667,3.666666667,3.5,3,30
178,20,4,1,3.833333333,4.666666667,5,39
179,21,4.166666667,2.833333333,3.333333333,5,4.5,36
180,18,2.666666667,3.666666667,3.333333333,3.333333333,2.333333333,23
181,21,4.833333333,2.5,4.333333333,3.833333333,3.333333333,30
182,19,3.5,1.833333333,3.833333333,2.333333333,2,34
183,21,4.666666667,3.333333333,3.833333333,4.166666667,4.5,39
184,20,3.333333333,2.666666667,3.333333333,4.333333333,4.333333333,30
185,20,4,1.833333333,3.333333333,4.166666667,4.333333333,34
186,14,3.333333333,3,3.333333333,2.833333333,3,25
187,21,4.166666667,2.166666667,5,3.5,3.166666667,33
188,21,4.166666667,2.5,3.5,4,3.166666667,38
189,21,5,1.833333333,2.833333333,4.333333333,4.333333333,37
190,20,3,2.166666667,3.5,3.166666667,3,29
191,18,3.5,4.166666667,4.166666667,3.5,2.5,23
192,19,2,3.833333333,4.5,4,4.333333333,26
193,18,2.666666667,3.666666667,5,3.666666667,2.5,26
194,17,3.5,2.833333333,3.666666667,3.166666667,3.5,38
195,12,2.5,2,3.833333333,3.833333333,2.833333333,23
196,21,3.666666667,1.833333333,3.5,3.833333333,3.833333333,35
197,18,4,2.666666667,4.5,3.333333333,3.666666667,29
198,21,3.833333333,2.333333333,2.833333333,4,3.5,37
199,17,3,1.833333333,3.833333333,3.5,3.166666667,31
200,15,4.166666667,1.833333333,3,3.666666667,4.333333333,32
201,15,2.666666667,2.5,4.333333333,4.333333333,3.833333333,32
202,21,1.666666667,2.666666667,4.333333333,3.166666667,4.166666667,25
203,18,3.5,2.166666667,4,2.833333333,1.833333333,26
204,21,3.5,2,2.666666667,2.666666667,2.666666667,33
205,20,2.333333333,2.833333333,4.166666667,4.833333333,4,28
206,15,3.666666667,3.166666667,3.166666667,3.833333333,3.833333333,30
207,12,4.166666667,3.833333333,3.333333333,3,3,24
208,15,3.833333333,1.666666667,4,2.166666667,3,36
209,18,3.5,1.833333333,3.666666667,4.833333333,4,32
210,21,3.166666667,2.333333333,3.833333333,4.166666667,3.833333333,34
211,21,4,3.333333333,3.666666667,5,5,33
212,21,1.666666667,2.666666667,4.666666667,3.666666667,2.333333333,20
213,18,4.166666667,2.166666667,3.666666667,4.666666667,4.166666667,28
214,17,4,2.666666667,3.833333333,3.833333333,2,31
215,18,3.5,2.5,4.333333333,3.833333333,4,32
216,21,3.666666667,2.333333333,4.333333333,3.666666667,3.666666667,36
217,21,4.166666667,1.333333333,4,4.333333333,3,34
218,15,3.666666667,1.833333333,4.333333333,3.5,3.666666667,26
219,19,3.5,3.166666667,4.333333333,4.5,4,34
220,18,3.666666667,4,4,4.5,2.5,26
221,16,3,4.166666667,3.666666667,4,3,26
222,15,3.5,2.333333333,4.333333333,3.5,3.333333333,32
223,19,3.833333333,3.333333333,2.833333333,3,3,31
224,17,4,2.166666667,3.833333333,2.666666667,3.5,25
225,17,3.333333333,2.833333333,2.5,3.5,4.5,33
226,18,3.166666667,2,3.333333333,3.333333333,2.5,35
227,14,3.166666667,3.5,3.666666667,4.333333333,3.666666667,27
228,21,3.5,2.666666667,3.666666667,3.833333333,3.333333333,29
229,21,3.833333333,2.333333333,4.666666667,5,4.833333333,39
230,21,3.833333333,1.666666667,3.333333333,4.333333333,3.5,36
231,21,5,1.5,4,4.333333333,4.666666667,35
232,21,5,1.166666667,3.666666667,5,5,39
233,21,2.833333333,1.833333333,3.333333333,4.5,4.666666667,40
234,21,4.333333333,2.833333333,4.166666667,4.833333333,3.5,39
235,20,3.5,3.333333333,4,3.333333333,3.333333333,26
236,21,2.5,2.5,3.333333333,4.166666667,3.5,27
237,21,2.833333333,3,3.166666667,3.333333333,2.333333333,25
238,21,4,3,2.666666667,3.5,3.166666667,33
239,21,3.333333333,3,3.333333333,3.5,2.5,28
240,21,3.833333333,2.666666667,3.666666667,4,4.333333333,39
241,21,3.5,1.166666667,4,3.333333333,1.833333333,32
242,21,4.333333333,3.666666667,4.166666667,2.666666667,3,28
243,21,3.166666667,2.833333333,3.5,3.333333333,3.666666667,27
244,12,1.666666667,1.5,3.166666667,2.666666667,2.333333333,37
245,21,3.833333333,2.5,4.833333333,4.833333333,4.5,37
246,20,4,3,4.5,4.166666667,2.833333333,31
247,21,3.333333333,2.333333333,4.166666667,4.166666667,3.833333333,31
248,21,3.666666667,3.333333333,5,4.333333333,3.166666667,35
249,21,4.166666667,3.833333333,4.666666667,4.166666667,2.333333333,25